732	sànbù	散步
733	sēnlín	森林
734	shāfā	沙发
735	shāngdiàn	商店
736	shāngliang	商量
737	shāngxīn	伤心
738	shàng	上
739	shàngbān	上班
740	shàngwǎng	上网
741	shàngwǔ	上午
742	shāowēi	稍微
743	shǎo	少
744	shèhuì	社会
745	shéi	谁
746	shēn	深
747	shēnqǐng	申请
748	shēntǐ	身体
749	shénme	什么
750	shènzhì	甚至
751	shēngbìng	生病
752	shēnghuó	生活
753	shēngmìng	生命
754	shēngqì	生气
755	shēngrì	生日
756	shēngyīn	声音
757	shěng	省
758	shèng	剩
759	shībài	失败
760	shīwàng	失望
761	shīfu	师傅
762	shīrùn	湿润
763	shīzi	狮子
764	shí	十
765	shífēn	十分
766	shíhou	时候
767	shíjiān	时间
768	shíjì	实际
769	shízài	实在
770	shípǐn	食品
771	shǐ	使
772	shǐyòng	使用
773	shì	是
774	shì	试
775	shìchǎng	市场
776	shìhé	适合
777	shìyìng	适应
778	shìjì	世纪
779	shìjiè	世界
780	shìqing	事情
781	shōu	收
782	shōurù	收入
783	shōushi	收拾
784	shǒubiǎo	手表
785	shǒujī	手机
786	shǒudū	首都
787	shǒuxiān	首先
788	shòu	瘦
789	shòubuliǎo	受不了
790	shòudào	受到
791	shòuhuòyuán	售货员
792	shū	书
793	shū	输
794	shūfu	舒服
795	shūshu	叔叔
796	shúxī	熟悉
797	shù	树
798	shùliàng	数量
799	shùxué	数学
800	shùzì	数字
801	shuāyá	刷牙
802	shuài	帅
803	shuāng	双
804	shuǐ	水
805	shuǐguǒ	水果
806	shuǐpíng	水平
807	shuìjiào	睡觉
808	shùnbiàn	顺便
809	shùnlì	顺利
810	shùnxù	顺序
811	shuōhuà	说话
812	shuōmíng	说明
813	shuòshì	硕士
814	sījī	司机
815	sǐ	死
816	sì	四
817	sòng	送
818	sùdù	速度
819	sùliàodài	塑料袋
820	suān	酸
821	suàn	算
822	suīrán	虽然
823	suíbiàn	随便
824	suízhe	随着
825	suì	岁
826	sūnzi	孙子
827	suǒyǐ	所以
828	suǒyǒu	所有
829	tā	他
830	tā	她
831	tā	它
832	tái	台
833	tái	抬
834	tài	太
835	tàiyáng	太阳
836	tàidu	态度
837	tán	谈
838	tángāngqín	弹钢琴
839	tāng	汤
840	táng	糖
841	tǎng	躺
842	tàng	趟
843	tǎolùn	讨论
844	tǎoyàn	讨厌
845	tèbié	特别
846	tèdiǎn	特点
847	téng	疼
848	tīzúqiú	踢足球
849	tí	题
850	tígāo	提高
851	tígōng	提供
852	tíqián	提前
853	tíxǐng	提醒
854	tǐyù	体育
855	tiānqì	天气
856	tián	甜
857	tiánkòng	填空
858	tiáo	条
859	tiáojiàn	条件
860	tiàowǔ	跳舞
861	tīng	听
862	tíngzhǐ	停止
863	tǐng	挺
864	tōngguò	通过
865	tōngzhī	通知
866	tóngqíng	同情
867	tóngshì	同事
868	tóngxué	同学
869	tóngyì	同意
870	tóufa	头发
871	tūrán	突然
872	túshūguǎn	图书馆
873	tuī	推
874	tuīchí	推迟
875	tuǐ	腿
876	tuō	脱
877	wàzi	袜子
878	wài	外
879	wán	玩
880	wán	完
881	wánchéng	完成
882	wánquán	完全
883	wǎn	碗
884	wǎnshang	晚上
885	wàn	万
886	wǎng	往
887	wǎngwǎng	往往
888	wǎngqiú	网球
889	wǎngzhàn	网站
890	wàngjì	忘记
891	wēixiǎn	危险
892	wèi	喂
893	wèi	位
894	wèi	为
895	wèile	为了
896	wèishénme	为什么
897	wèidào	味道
898	wēndù	温度
899	wénhuà	文化
900	wénzhāng	文章
901	wèn	问
902	wèntí	问题
903	wǒ	我
904	wǒmen	我们
905	wòshǒu	握手
906	wūrǎn	污染
907	wú	无
908	wúliáo	无聊
909	wúlùn	无论
910	wǔ	五
911	wùhuì	误会
912	xī	西
913	xīguā	西瓜
914	xīhóngshì	西红柿
915	xīwàng	希望
916	xīyǐn	吸引
917	xíguàn	习惯
918	xǐ	洗
919	xǐshǒujiān	洗手间
920	xǐyījī	洗衣机
921	xǐzǎo	洗澡
922	xǐhuan	喜欢
923	xià	夏
924	xià	下
925	xiàwǔ	下午
926	xiàyǔ	下雨
927	xiān	先
928	xiānsheng	先生
929	xián	咸
930	xiàndài	现代
931	xiànzài	现在
932	xiànmù	羡慕
933	xiànzhì	限制
934	xiāng	香
935	xiāngjiāo	香蕉
936	xiāngfǎn	相反
937	xiāngtóng	相同
938	xiāngxìn	相信
939	xiángxì	详细
940	xiǎng	响
941	xiǎng	想
942	xiàng	向
943	xiàng	像
944	xiāoxi	消息
945	xiǎo	小
946	xiǎojiě	小姐
947	xiǎoshí	小时
948	xiǎoshuō	小说
949	xiǎoxīn	小心
950	xiào	笑
951	xiàohua	笑话
952	xiàoguǒ	效果
953	xiàozhǎng	校长
954	xiē	些
955	xié	鞋
956	xiě	写
957	xièxie	谢谢
958	xīn	新
959	xīnwén	新闻
960	xīnxiān	新鲜
961	xīnkǔ	辛苦
962	xīnqíng	心情
963	xìn	信
964	xìnrèn	信任
965	xìnxīn	信心
966	xìnyòngkǎ	信用卡
967	xīngfèn	兴奋
968	xīngqī	星期
969	xíng	行
970	xínglixiāng	行李箱
971	xǐng	醒
972	xìng	姓
973	xìngbié	性别
974	xìnggé	性格
975	xìngfú	幸福
976	xìngqù	兴趣
977	xióngmāo	熊猫
978	xiū	修
979	xiūxi	休息
980	xūyào	需要
981	xǔduō	许多
982	xuǎnzé	选择
983	xuésheng	学生
984	xuéxí	学习
985	xuéxiào	学校
986	xuě	雪
987	xuè	血
988	yālì	压力
989	yágāo	牙膏
990	Yàzhōu	亚洲
991	ya	呀
992	yán	盐
993	yángé	严格
994	yánzhòng	严重
995	yánjiūshēng	研究生
996	yánsè	颜色
997	yǎnchū	演出
998	yǎnyuán	演员
999	yǎnjìng	眼镜
1000	yǎnjing	眼睛
1001	yángguāng	阳光
1002	yángròu	羊肉
1003	yǎngchéng	养成
1004	yàngzi	样子
1005	yāoqǐng	邀请
1006	yāoqiú	要求
1007	yào	要
1008	yào	药
1009	yàoshi	钥匙
1010	yéye	爷爷
1011	yě	也
1012	yěxǔ	也许
1013	yè	页
1014	yèzi	叶子
1015	yī	一
1016	yīfu	衣服
1017	yīshēng	医生
1018	yīyuàn	医院
1019	yídìng	一定
1020	yígòng	一共
1021	yíhuìr	一会儿
1022	yíqiè	一切
1023	yíyàng	一样
1024	yǐ	以
1025	yǐhòu	以后
1026	yǐqián	以前
1027	yǐwéi	以为
1028	yǐjīng	已经
1029	yǐzi	椅子
1030	yì	亿
1031	yìbān	一般
1032	yìbiān	一边
1033	yìqǐ	一起
1034	yìzhí	一直
1035	yìjiàn	意见
1036	yìsi	意思
1037	yìshù	艺术
1038	yīn	阴
1039	yīncǐ	因此
1040	yīnwèi	因为
1041	yīnyuè	音乐
1042	yínháng	银行
1043	yǐnliào	饮料
1044	yǐnqǐ	引起
1045	yìnxiàng	印象
1046	yīnggāi	应该
1047	yíng	赢
1048	yǐngxiǎng	影响
1049	yìng	硬
1050	yǒnggǎn	勇敢
1051	yǒngyuǎn	永远
1052	yòng	用
1053	yōudiǎn	优点
1054	yōuxiù	优秀
1055	yōumò	幽默
1056	yóu	由
1057	yóuyú	由于
1058	yóuqí	尤其
1059	yóuxì	游戏
1060	yóuyǒng	游泳
1061	yǒu	有
1062	yǒumíng	有名
1063	yǒuqù	有趣
1064	yǒuhǎo	友好
1065	yǒuyì	友谊
1066	yòu	又
1067	yòubian	右边
1068	yú	鱼
1069	yúkuài	愉快
1070	yúshì	于是
1071	yǔ	与
1072	yǔfǎ	语法
1073	yǔyán	语言
1074	yǔmáoqiú	羽毛球
1075	yùdào	遇到
1076	yùxí	预习
1077	yuán	元
1078	yuán	圆
1079	yuánlái	原来
1080	yuánliàng	原谅
1081	yuányīn	原因
1082	yuǎn	远
1083	yuànyì	愿意
1084	yuēhuì	约会
1085	yuè	越
1086	yuè	月
1087	yuèliang	月亮
1088	yuèdú	阅读
1089	yún	云
1090	yǔnxǔ	允许
1091	yùndòng	运动
1092	zázhì	杂志
1093	zài	在
1094	zài	再
1095	zàijiàn	再见
1096	zánmen	咱们
1097	zànshí	暂时
1098	zāng	脏
1099	zǎoshang	早上
1100	zérèn	责任
1101	zěnme	怎么
1102	zěnmeyàng	怎么样
1103	zēngjiā	增加
1104	zēngzhǎng	增长
1105	zhǎi	窄
1106	zhàn	站
1107	zhāng	张
1108	zhǎng	长
1109	zhàngfu	丈夫
1110	zhāopìn	招聘
1111	zháojí	着急
1112	zhǎo	找
1113	zhàogù	照顾
1114	zhàopiàn	照片
1115	zhàoxiàngjī	照相机
1116	zhè	这
1117	zhe	着
1118	zhēn	真
1119	zhēnzhèng	真正
1120	zhěnglǐ	整理
1121	zhěngqí	整齐
1122	zhèngcháng	正常
1123	zhènghǎo	正好
1124	zhèngquè	正确
1125	zhèngshì	正式
1126	zhèngzài	正在
1127	zhèngmíng	证明
1128	zhī	之
1129	zhī	只
1130	zhīchí	支持
1131	zhīdào	知道
1132	zhīshi	知识
1133	zhídé	值得
1134	zhíjiē	直接
1135	zhíwù	植物
1136	zhíyè	职业
1137	zhǐ	指
1138	zhǐ	只
1139	zhǐhǎo	只好
1140	zhǐyào	只要
1141	zhìliàng	质量
1142	zhìshǎo	至少
1143	zhìzào	制造
1144	Zhōngguó	中国
1145	zhōngjiān	中间
1146	Zhōngwén	中文
1147	zhōngwǔ	中午
1148	zhōngyú	终于
1149	zhǒng	种
1150	zhòngdiǎn	重点
1151	zhòngshì	重视
1152	zhòngyào	重要
1153	zhōumò	周末
1154	zhōuwéi	周围
1155	zhū	猪
1156	zhújiàn	逐渐
1157	zhǔdòng	主动
1158	zhǔyào	主要
1159	zhǔyi	主意
1160	zhù	住
1161	zhù	祝
1162	zhùhè	祝贺
1163	zhùmíng	著名
1164	zhùyì	注意
1165	zhuānmén	专门
1166	zhuānyè	专业
1167	zhuàn	赚
1168	zhuàng	撞
1169	zhǔnbèi	准备
1170	zhǔnquè	准确
1171	zhǔnshí	准时
1172	zhuōzi	桌子
1173	zǐxì	仔细
1174	zì	字
1175	zìdiǎn	字典
1176	zìjǐ	自己
1177	zìrán	自然
1178	zìxíngchē	自行车
1179	zǒngjié	总结
1180	zǒngshì	总是
1181	zǒu	走
1182	zū	租
1183	zǔchéng	组成
1184	zǔzhī	组织
1185	zuǐ	嘴
1186	zuì	最
1187	zuìhǎo	最好
1188	zuìhòu	最后
1189	zuìjìn	最近
1190	zūnzhòng	尊重
1191	zuótiān	昨天
1192	zuǒbian	左边
1193	zuò	坐
1194	zuò	做
1195	zuòshēngyi	做生意
1196	zuò	座
1197	zuòwèi	座位
1198	zuòyè	作业
1199	zuòyòng	作用
1200	zuòzhě	作者
